# timestamp x y z qx qy qz qw
1770176337.782415 0.004869 -0.007163 0.000442 -0.000137 -0.147457 -0.000495 0.989068
1770176337.814047 0.008856 -0.004387 0.003051 -0.000474 -0.148067 0.001006 0.988977
1770176337.836513 0.007947 0.005146 0.006780 0.000801 -0.148790 0.000344 0.988868
1770176337.926871 0.005910 0.003276 0.005503 0.005350 -0.150654 -0.006842 0.988548
1770176338.029193 0.009339 0.001686 0.004022 0.001473 -0.150261 -0.001811 0.988644
1770176338.135562 0.010875 0.001872 0.004236 0.002037 -0.149125 -0.001780 0.988815
1770176338.213978 0.007252 -0.002719 0.002611 0.003508 -0.148557 -0.001560 0.988896
1770176342.241646 0.006122 -0.002860 0.002934 0.002403 -0.148546 -0.003757 0.988896
1770176342.252254 0.006657 -0.002018 0.005147 0.001585 -0.149580 -0.001582 0.988747
1770176342.258778 0.009707 0.000001 0.006375 0.002344 -0.148965 -0.002184 0.988837
1770176342.263651 0.008644 0.000707 0.006151 0.003310 -0.149792 -0.000976 0.988711
1770176342.266707 0.007414 0.002670 0.005682 0.002062 -0.151644 -0.002548 0.988430
1770176342.307945 0.007857 0.001556 0.005763 0.004737 -0.149578 -0.002861 0.988735
1770176342.314617 0.005858 -0.003120 0.003502 -0.004995 0.148897 0.003064 -0.988835
1770176342.320584 0.005840 -0.003615 0.004551 0.004028 -0.149707 -0.002985 0.988718
1770176342.327081 0.005900 -0.005830 0.003603 0.002938 -0.149898 -0.001915 0.988695
1770176342.331445 0.006096 -0.003532 0.003793 0.003234 -0.148404 -0.002545 0.988918
1770176342.334229 0.007277 -0.002507 0.003642 0.004058 -0.149938 -0.002224 0.988685
1770176342.370483 0.007428 -0.001399 0.003873 0.002512 -0.148919 -0.003938 0.988838
1770176342.372725 0.011613 0.000511 0.003864 0.000952 -0.150690 -0.002194 0.988578
1770176342.379615 0.009818 -0.001624 0.004248 0.001512 -0.149970 0.000650 0.988689
1770176342.384738 0.009845 0.001441 0.006380 0.002896 -0.149376 -0.001605 0.988775
1770176342.387894 0.010324 0.001455 0.005249 0.003336 -0.150779 -0.003969 0.988554
1770176342.393134 0.007592 0.001453 0.007009 0.001816 -0.149516 -0.001350 0.988757
1770176342.395807 0.006458 0.001717 0.004035 0.003727 -0.149929 -0.002146 0.988687
1770176342.398971 0.006625 0.002435 0.002163 0.002519 -0.149136 -0.003199 0.988808
1770176342.404574 0.007819 -0.000461 0.002016 0.001401 -0.148699 -0.002474 0.988878
1770176342.434574 0.007861 -0.000607 0.001322 0.003222 -0.148911 -0.001342 0.988844
1770176342.437310 0.007899 -0.000238 0.000520 0.002478 -0.148058 -0.002483 0.988972
1770176342.442396 0.008710 -0.000284 0.002341 0.000486 -0.148533 -0.000225 0.988907
1770176342.446752 0.008579 -0.001683 0.003455 0.002684 -0.148333 -0.001665 0.988932
1770176342.450852 0.008268 -0.005545 0.002043 0.002393 -0.149718 -0.000416 0.988726
1770176342.454861 0.004823 -0.005917 0.003041 0.002507 -0.148473 -0.002772 0.988909
1770176342.458749 0.006144 -0.002180 0.004550 0.002497 -0.149152 -0.003016 0.988807
1770176342.462780 0.006942 -0.000322 0.003697 0.003402 -0.149364 -0.002705 0.988773
1770176342.466647 0.008133 0.001815 0.004441 0.003731 -0.147363 -0.004636 0.989065
1770176342.469709 0.007757 -0.001331 0.005919 0.001625 -0.149747 -0.002846 0.988719
1770176342.490233 0.009303 0.000607 0.006148 0.004213 -0.149056 -0.002545 0.988817
1770176342.495254 0.006790 0.002459 0.004376 0.003355 -0.150168 -0.002092 0.988653
1770176342.498271 0.007962 0.002016 0.003136 0.002435 -0.149840 -0.001230 0.988707
1770176342.501626 0.010572 0.000540 0.003900 0.001648 -0.149269 -0.000319 0.988795
1770176342.504418 0.008496 -0.002960 0.003804 0.002523 -0.149409 0.000004 0.988772
1770176342.511918 0.008746 -0.001857 0.004628 0.002415 -0.149495 0.000063 0.988760
1770176342.537275 0.007623 -0.000357 0.005141 0.001856 -0.150898 -0.003784 0.988540
1770176342.540585 0.007616 0.000551 0.006160 0.003887 -0.148875 -0.003593 0.988842
1770176342.547067 0.006878 -0.002140 0.002681 0.002356 -0.151012 -0.001100 0.988529
1770176342.550414 0.007877 0.001564 0.002876 0.001301 -0.148906 -0.000786 0.988850
1770176342.555695 0.007462 0.000078 0.002367 0.002062 -0.148897 -0.002588 0.988847
1770176342.587716 0.006550 -0.001637 0.004367 0.002858 -0.148431 -0.002664 0.988915
1770176342.590951 0.006387 -0.000859 0.003093 0.003151 -0.148844 -0.002789 0.988852
1770176342.646997 0.005771 -0.001476 0.004718 -0.001284 -0.148766 -0.000840 0.988871
1770176342.733431 0.008697 -0.002572 0.006891 0.002562 -0.149826 -0.002966 0.988705
1770176342.832292 0.009961 -0.001821 0.004837 0.004341 -0.148508 -0.003094 0.988897
1770176342.927930 0.010763 0.000968 0.002373 0.003639 -0.148819 -0.003652 0.988851
1770176343.039389 0.008576 0.001312 0.001337 0.001866 -0.150537 -0.002803 0.988599
1770176343.147581 0.007305 -0.000186 0.002986 0.002893 -0.148855 -0.003824 0.988847
1770176343.241843 0.005267 -0.002505 0.003994 0.004172 -0.148972 -0.002602 0.988829
1770176343.339118 0.008319 -0.001465 0.005710 0.002655 -0.148082 -0.001761 0.988970
1770176343.451839 0.009312 0.000305 0.005871 0.001296 -0.149658 0.000195 0.988737
1770176343.535994 0.006513 -0.002978 0.003923 0.002146 -0.149750 -0.001877 0.988720
1770176343.644628 0.005684 0.001815 0.003033 0.001869 -0.149424 -0.002086 0.988769
1770176343.755238 0.006762 0.002834 0.003479 0.001419 -0.148832 -0.002768 0.988858
1770176343.843241 0.007611 0.000060 0.002572 0.004004 -0.149541 -0.002475 0.988744
1770176343.944093 0.008804 -0.000819 0.003737 0.002186 -0.147777 -0.002662 0.989015
1770176344.026383 0.009188 -0.001553 0.004598 0.002844 -0.148196 -0.003112 0.988949
1770176344.142768 0.008876 -0.002874 0.003971 0.003209 -0.148754 -0.001930 0.988867
1770176344.261549 0.010200 -0.003292 0.004819 0.002670 -0.148473 -0.002847 0.988909
1770176344.357095 0.009427 -0.001451 0.006915 0.003595 -0.150304 -0.002597 0.988630
1770176344.444761 0.007159 -0.002308 0.005838 0.001710 -0.150758 -0.001583 0.988568
1770176344.569486 0.005756 -0.001817 0.003623 0.004356 -0.150629 -0.003319 0.988575
1770176344.635714 0.005691 -0.001342 0.003533 0.002493 -0.148006 -0.002452 0.988980
1770176344.736844 0.007335 -0.002450 0.003144 0.002778 -0.149057 -0.002447 0.988822
1770176344.836039 0.008861 0.001226 0.003009 0.002408 -0.149227 -0.002953 0.988796
1770176344.944593 0.010584 0.001441 0.003019 0.000367 -0.148517 -0.001218 0.988909
1770176345.052686 0.011949 -0.001662 0.004622 0.002898 -0.148955 -0.002594 0.988836
1770176345.141154 0.011029 -0.001889 0.005739 0.003889 -0.149545 -0.002792 0.988743
1770176345.243104 0.009206 -0.002151 0.004058 0.004421 -0.149628 -0.002498 0.988729
1770176345.364108 0.007920 -0.002606 0.004698 0.003992 -0.148560 -0.003873 0.988888
1770176345.444068 0.007390 -0.003283 0.005744 0.003431 -0.149233 -0.002867 0.988792
1770176345.546034 0.008039 -0.002527 0.004651 0.003713 -0.149243 -0.002304 0.988791
1770176345.646834 0.005407 -0.001721 0.003030 0.002816 -0.148066 -0.002837 0.988969
1770176345.747819 0.006700 -0.003772 0.003332 0.001190 -0.148628 -0.002300 0.988890
1770176345.856548 0.007752 -0.003535 0.004839 0.002847 -0.149142 -0.002927 0.988807
1770176345.942560 0.006737 -0.001636 0.004392 0.004478 -0.150488 -0.002823 0.988598
1770176346.050033 0.007031 -0.001553 0.005799 0.002851 -0.147550 -0.004704 0.989039
1770176346.181691 0.008472 0.000975 0.004564 0.002876 -0.148656 -0.002337 0.988882
1770176346.243422 0.008015 0.003614 0.003892 0.002749 -0.148738 -0.003059 0.988868
1770176346.346081 0.008762 0.002413 0.004818 0.002362 -0.149103 -0.002062 0.988817
1770176346.444788 0.008314 -0.000774 0.004837 0.003950 -0.149167 -0.004119 0.988796
1770176346.544568 0.005563 -0.004196 0.003430 0.001430 -0.149910 -0.002224 0.988696
1770176346.655487 0.005397 -0.004197 0.002506 0.001312 -0.149881 -0.002563 0.988700
1770176346.743929 0.005398 -0.005340 0.004581 0.002359 -0.148808 -0.002071 0.988861
1770176346.851644 0.006551 -0.005204 0.004595 0.003026 -0.149746 -0.001911 0.988718
1770176346.971303 0.004449 -0.006537 0.003392 0.003037 -0.150809 -0.002845 0.988554
1770176347.060190 0.004958 -0.000243 0.006453 0.002150 -0.148038 -0.003392 0.988973
1770176347.140790 0.007051 0.002518 0.005745 0.002442 -0.149995 -0.003970 0.988676
1770176347.237429 0.008834 0.000157 0.003302 0.002239 -0.148534 -0.001849 0.988903
1770176347.349262 0.009117 -0.000952 0.002013 0.002929 -0.147947 -0.003877 0.988983
1770176347.455508 0.008950 0.000001 0.003030 0.002189 -0.148388 -0.002274 0.988924
1770176347.556120 0.008448 -0.000615 0.003447 0.001178 -0.150012 -0.001631 0.988682
1770176347.786051 0.007060 -0.001362 0.004007 0.003502 -0.148127 -0.002245 0.988960
1770176347.791713 0.009758 0.003254 0.006419 0.001480 -0.148196 -0.003280 0.988951
1770176347.851929 0.010538 0.004509 0.004768 0.003166 -0.149993 -0.004193 0.988673
